id,attendance,marks,assignment,prev_perf,risk
f496ccbe-4982-4087-8999-008a37c23140,0.0,0.0,0.0,0.0,1
004c2387-6a4f-4bc5-acc4-54aeab613d1f,66.66666666666667,59.333333333333336,74.0,77.83333333333333,0
c89cafbb-151f-4084-a143-22c762330933,100.0,50.333333333333336,85.0,83.16666666666667,0
11138c19-b3d4-4523-ac36-2d4e6aab35f0,100.0,67.33333333333333,72.0,76.58333333333333,0
191a4637-79bf-4b6a-a3da-2b2b29b18d8c,0.0,0.0,0.0,0.0,1
240f17b9-478f-48e2-b0e7-1a1845af1d02,66.66666666666667,66.33333333333333,71.5,71.0,0
46c132cd-020f-486c-872f-b9237a9fc0a3,0.0,0.0,0.0,0.0,1
f7ac649f-89d9-48bb-95c3-9a6c09f2722e,33.333333333333336,62.333333333333336,83.5,75.41666666666667,1
e58d4c4a-3461-4d8b-9b21-8e5a99316363,100.0,68.33333333333333,84.0,71.16666666666667,0
0cdc9a27-befe-4d84-b651-61aad5404d4e,66.66666666666667,70.66666666666667,66.0,80.08333333333333,0
1226e7e9-a69a-4968-8f66-1a4ac1e5d1d0,100.0,75.0,71.5,76.75,0
121df222-70d3-4f99-b4c6-322d128cb676,66.66666666666667,81.66666666666667,79.0,67.83333333333333,0
d0b8dbe6-d2f4-43fd-9a25-789792b17188,100.0,65.66666666666667,80.5,77.58333333333333,0
03de92d7-c3d2-46ca-9098-b72e84b36500,100.0,84.33333333333333,82.5,71.08333333333333,0
1a3ca680-5986-4126-99fa-32f5c7b6a4f5,100.0,72.0,58.0,69.5,0
b3b83ef6-7a5a-413e-80b8-82b6ad9327c9,100.0,78.66666666666667,72.0,81.83333333333333,0
41d0be53-8d78-471c-a760-3208c3a96e44,66.66666666666667,77.66666666666667,64.0,76.66666666666667,0
190f0549-f27a-4694-b3f5-f71a17c3fd98,100.0,51.666666666666664,70.5,69.5,0
5585a0be-e472-415a-b8b6-e0578a5b73fa,66.66666666666667,74.66666666666667,77.5,83.16666666666667,0
548b9dec-b695-47c9-8a8f-79907ac42232,100.0,74.66666666666667,75.0,77.66666666666667,0
ad0dd57f-add0-41bf-aea4-c77f22410c73,66.66666666666667,80.33333333333333,74.5,71.83333333333333,0
ba507ec0-8496-4298-8fef-dd614ef0c3d9,100.0,75.0,79.0,73.83333333333333,0
9a241bcc-081c-44f0-9c7b-e9dffb30af09,0.0,0.0,0.0,0.0,1
d9528d8f-535b-445a-8b60-143922d40504,100.0,67.33333333333333,90.0,57.25,0
47a73396-bb2e-4634-827d-bcb0dd6c09be,100.0,61.0,71.0,67.0,0
fdda3885-2bae-46c9-8001-00a0962caef4,66.66666666666667,79.0,56.5,72.41666666666667,0
509f0db7-85f1-44c1-a789-9becd28ae37a,66.66666666666667,73.33333333333333,78.0,96.08333333333333,0
d962ae6d-b9a6-4f09-8a09-8f9e53fb7cfa,0.0,0.0,0.0,0.0,1
55046596-05b9-4263-b3de-cd266539c384,100.0,89.33333333333333,75.0,63.666666666666664,0
ae897bec-aa33-4854-95de-a5c000e6b190,33.333333333333336,72.0,71.0,62.666666666666664,1
0c351b22-91a5-4d86-9a54-81c54a5c926d,100.0,65.33333333333333,82.0,73.25,0
4a07c18e-a53a-42a6-8415-7c16279957e8,100.0,78.33333333333333,80.5,66.5,0
5653f455-e7b6-444e-9f4e-d30a01ae94ef,0.0,0.0,0.0,0.0,1
dd4028e9-04eb-4fad-9220-e1f7f36a1136,33.333333333333336,79.66666666666667,56.0,87.08333333333333,1
4aa7740a-90d2-464d-a4c1-aeb09e5fdb0d,100.0,49.333333333333336,79.5,61.083333333333336,1
1d30c1d3-9e0d-428b-894e-a3a85f5f1fd7,100.0,75.33333333333333,73.0,75.5,0
1a4443f9-2f71-41d2-be35-aeac64d72f5d,66.66666666666667,77.33333333333333,94.5,76.66666666666667,0
18f9aaf7-9db5-4221-b811-ac7997ea9c7e,33.333333333333336,61.0,80.5,72.16666666666667,1
a18c7f3b-742e-4c6e-a4ba-ef9a5462c7b6,0.0,0.0,0.0,0.0,1
b99907e9-bb6b-486c-b5e0-38e2b59b755e,100.0,58.666666666666664,57.0,73.66666666666667,0
50c94a47-712d-46ae-82e1-9d2201e30d8f,33.333333333333336,77.66666666666667,98.0,67.91666666666667,1
05c2b375-ea9f-48e5-b82d-be6d012d1ca9,0.0,0.0,0.0,0.0,1
e029b468-12e3-4191-998e-c87acd0f921b,66.66666666666667,71.66666666666667,67.5,80.25,0
312625aa-45f6-4c89-bfbc-cc3a9d073dd8,33.333333333333336,72.33333333333333,69.5,80.0,1
c8eb8eb7-59e7-42f6-8158-ad52e3347b00,100.0,70.0,86.0,74.25,0
857237f1-284e-4819-90aa-91ef71cd2418,33.333333333333336,80.33333333333333,51.0,65.5,1
4a9feae1-ceba-4d0a-b7d1-3fa12b062d4b,66.66666666666667,69.33333333333333,81.5,84.83333333333333,0
c09b6976-5a34-4a1f-8f78-c495c655c6d9,66.66666666666667,86.33333333333333,80.0,73.41666666666667,0
d9687aee-26c4-4445-a474-af28e6a44271,66.66666666666667,88.33333333333333,79.0,69.91666666666667,0
a217566e-f078-4c97-ab97-62792c5193fa,100.0,64.0,59.0,0.0,0
